sgRNA,Cell_line,Replicate,Timepoint,gene,Treatment,diff,type,TP,FP,AUC
sgPSMB3_4,Hbe,R2,T3,PSMB3,No,-2.00252335380868,+,0.022108843537415,0,0.910426083184952
sgALG1_6,Hbe,R1,T6,ALG1,No,-2.00004384938843,+,0.0238095238095238,0.00167785234899329,0.940955576861617
sgRUVBL2_3,Hbe,R2,T5,RUVBL2,No,-1.99968916568035,+,0.0204081632653061,0,0.954238574624481
sgBUD31_6,Hbe,R2,T6,BUD31,No,-1.99860492107437,+,0.076530612244898,0,0.959497557412227
sgSNRPD2_3,Susa,R1,T6,SNRPD2,No,-1.99858017318603,+,0.0204081632653061,0,0.935257156553897
sgTRAPPC3_2,Susa,R1,T4,TRAPPC3,No,-1.99769842218429,+,0.00340136054421769,0,0.941529128429895
sgALG1_6,Hbe,R2,T6,ALG1,No,-1.99745488156027,+,0.0782312925170068,0,0.959497557412227
sgUTP23_5,Hbe,R2,T5,UTP23,No,-1.99658745359219,+,0.022108843537415,0,0.954238574624481
sgBUD31_6,Hbe,R1,T3,BUD31,No,-1.99636430654526,+,0.0102040816326531,0,0.922673263936447
sgIARS2_6,Susa,R2,T6,IARS2,No,-1.9961968161405,+,0.00510204081632653,0,0.862398986440214
sgALG1_5,Hbe,R2,T6,ALG1,No,-1.99437915957139,+,0.0799319727891157,0,0.959497557412227
sgIMP4_5,Hbe,R2,T4,IMP4,No,-1.99392485359685,+,0.032312925170068,0,0.946659704150116
sgGUK1_4,Hbe,R2,T6,GUK1,No,-1.99281235374621,+,0.0816326530612245,0,0.959497557412227
sgCDK7_2,Hbe,R2,T5,CDK7,No,-1.99258173904078,+,0.0238095238095238,0,0.954238574624481
sgGUK1_4,Hbe,R2,T6,GUK1,No,-1.9901491306688,+,0.0833333333333333,0,0.959497557412227
sgEXOSC7_2,Hbe,R2,T6,EXOSC7,No,-1.99005467778002,+,0.0850340136054422,0,0.959497557412227
sgC9orf114_3,Hbe,R1,T5,C9orf114,No,-1.98990247540193,+,0.022108843537415,0,0.948229123864311
sgPOLR3H_5,Hbe,R2,T6,POLR3H,No,-1.98981498462194,+,0.086734693877551,0,0.959497557412227
sgTRMT112_3,Susa,R1,T6,TRMT112,No,-1.98972841216073,+,0.022108843537415,0,0.935257156553897
sgDDX20_1,Hbe,R2,T6,DDX20,No,-1.98970443708668,+,0.0884353741496599,0,0.959497557412227
sgPCNA_1,Hbe,R1,T6,PCNA,No,-1.98918367473579,+,0.0255102040816327,0.00167785234899329,0.940955576861617
sgUSP39_6,Hbe,R2,T5,USP39,No,-1.98868470401372,+,0.0255102040816327,0,0.954238574624481
sgPCNA_3,Hbe,R1,T5,PCNA,No,-1.98766231991635,+,0.0238095238095238,0,0.948229123864311
sgDDX20_3,Susa,R2,T6,DDX20,No,-1.98663839047956,+,0.00680272108843537,0,0.862398986440214
sgRUVBL2_3,Hbe,R2,T4,RUVBL2,No,-1.98635450760311,+,0.0340136054421769,0,0.946659704150116
sgSNRPD2_4,Hbe,R2,T6,SNRPD2,No,-1.98435229106393,+,0.0901360544217687,0,0.959497557412227
sgUBL5_2,Hbe,R1,T6,UBL5,No,-1.98433759344526,+,0.0272108843537415,0.00167785234899329,0.940955576861617
sgBUD31_6,Hbe,R1,T6,BUD31,No,-1.98406682321598,+,0.0289115646258503,0.00167785234899329,0.940955576861617
sgDDX20_4,Hbe,R1,T5,DDX20,No,-1.98161474385184,+,0.0255102040816327,0,0.948229123864311
sgSNRPD2_3,Hbe,R2,T6,SNRPD2,No,-1.98079574645809,+,0.0918367346938776,0,0.959497557412227
sgUSP39_6,Hbe,R1,T5,USP39,No,-1.980593452774,+,0.0272108843537415,0,0.948229123864311
sgXPO1_6,Susa,R1,T4,XPO1,No,-1.97801134046146,+,0.00510204081632653,0,0.941529128429895
sgUBL5_6,Hbe,R2,T6,UBL5,No,-1.97733706806037,+,0.0935374149659864,0,0.959497557412227
sgXAB2_4,Hbe,R2,T4,XAB2,No,-1.97648662805173,+,0.0357142857142857,0,0.946659704150116
sgSNRPD2_1,Hbe,R2,T6,SNRPD2,No,-1.97545268036904,+,0.0952380952380952,0,0.959497557412227
sgTRAPPC3_5,Hbe,R1,T5,TRAPPC3,No,-1.97441290239162,+,0.0289115646258503,0,0.948229123864311
sgPCNA_4,Hbe,R2,T6,PCNA,No,-1.97311634800878,+,0.0969387755102041,0,0.959497557412227
sgPES1_4,Hbe,R1,T5,PES1,No,-1.97027556048007,+,0.0306122448979592,0,0.948229123864311
sgGAPDH_1,Hbe,R2,T6,GAPDH,No,-1.96932288502141,+,0.0986394557823129,0,0.959497557412227
sgBUD31_4,Hbe,R1,T5,BUD31,No,-1.96749253422106,+,0.032312925170068,0,0.948229123864311
sgNVL_2,Hbe,R2,T3,NVL,No,-1.9671048469925,+,0.0238095238095238,0,0.910426083184952
sgVPS25_3,Hbe,R2,T5,VPS25,No,-1.96554201973798,+,0.0272108843537415,0,0.954238574624481
sgEXOSC7_4,Hbe,R2,T6,EXOSC7,No,-1.96368751050835,+,0.100340136054422,0,0.959497557412227
sgPOLR3H_6,Hbe,R2,T5,POLR3H,No,-1.96251830401217,+,0.0289115646258503,0,0.954238574624481
sgPOLR3H_1,Hbe,R2,T6,POLR3H,No,-1.9597391234542,+,0.102040816326531,0,0.959497557412227
sgUSP39_2,Hbe,R2,T5,USP39,No,-1.95914809324639,+,0.0306122448979592,0,0.954238574624481
sgTRMT112_6,Hbe,R2,T6,TRMT112,No,-1.95822018585031,+,0.103741496598639,0,0.959497557412227
sgPSMB3_5,Susa,R1,T6,PSMB3,No,-1.95810202283331,+,0.0238095238095238,0,0.935257156553897
sgNSF_6,Hbe,R1,T4,NSF,No,-1.95771104435176,+,0.0170068027210884,0.00167785234899329,0.955950668858147
sgPSMB3_6,Hbe,R2,T4,PSMB3,No,-1.95760999373715,+,0.0374149659863946,0,0.946659704150116
sgBUD31_6,Hbe,R2,T3,BUD31,No,-1.95756197116072,+,0.0255102040816327,0,0.910426083184952
sgUBL5_3,Hbe,R2,T5,UBL5,No,-1.9573353683861,+,0.032312925170068,0,0.954238574624481
sgGAPDH_3,Hbe,R2,T6,GAPDH,No,-1.95725932471772,+,0.105442176870748,0,0.959497557412227
sgTRRAP_2,Hbe,R2,T3,TRRAP,No,-1.95664414880753,+,0.0272108843537415,0,0.910426083184952
sgALG1_6,Hbe,R2,T6,ALG1,No,-1.95508199438696,+,0.107142857142857,0,0.959497557412227
sgIMP4_2,Hbe,R2,T6,IMP4,No,-1.95465404729326,+,0.108843537414966,0,0.959497557412227
sgMCM2_5,Hbe,R1,T5,MCM2,No,-1.95395696691399,+,0.0340136054421769,0,0.948229123864311
sgNSF_6,Hbe,R1,T6,NSF,No,-1.95202199269437,+,0.0306122448979592,0.00167785234899329,0.940955576861617
sgPCNA_6,Susa,R1,T6,PCNA,No,-1.95197355404409,+,0.0255102040816327,0,0.935257156553897
sgBUD31_6,Hbe,R1,T5,BUD31,No,-1.95125049236292,+,0.0357142857142857,0,0.948229123864311
sgVPS25_1,Hbe,R2,T3,VPS25,No,-1.95089343216222,+,0.0289115646258503,0,0.910426083184952
sgTRMT112_1,Hbe,R1,T5,TRMT112,No,-1.95053406114796,+,0.0374149659863946,0,0.948229123864311
sgCDC16_3,Hbe,R1,T6,CDC16,No,-1.94962210289222,+,0.032312925170068,0.00167785234899329,0.940955576861617
sgTRRAP_2,Hbe,R2,T6,TRRAP,No,-1.94917598504769,+,0.110544217687075,0,0.959497557412227
sgPSMB3_6,Susa,R1,T6,PSMB3,No,-1.94906386305522,+,0.0272108843537415,0,0.935257156553897
sgAARS_2,Hbe,R2,T6,AARS,No,-1.9483132321539,+,0.112244897959184,0,0.959497557412227
sgSNRPD2_1,Hbe,R2,T5,SNRPD2,No,-1.94816518583472,+,0.0340136054421769,0,0.954238574624481
sgAARS_3,Hbe,R2,T4,AARS,No,-1.94684374897647,+,0.0391156462585034,0,0.946659704150116
sgBUD31_6,Hbe,R2,T5,BUD31,No,-1.94649780833165,+,0.0357142857142857,0,0.954238574624481
sgTRMT112_3,Hbe,R2,T6,TRMT112,No,-1.94581129281922,+,0.113945578231293,0,0.959497557412227
sgXPO1_1,Hbe,R2,T3,XPO1,No,-1.94495421987383,+,0.0306122448979592,0,0.910426083184952
sgRFC5_3,Susa,R1,T6,RFC5,No,-1.94463289167149,+,0.0289115646258503,0,0.935257156553897
sgACTL6A_2,Hbe,R1,T6,ACTL6A,No,-1.94331931495687,+,0.0340136054421769,0.00167785234899329,0.940955576861617
sgNVL_2,Hbe,R1,T5,NVL,No,-1.94194239411509,+,0.0391156462585034,0,0.948229123864311
sgPSMB3_4,Hbe,R2,T3,PSMB3,No,-1.94145187101617,+,0.032312925170068,0,0.910426083184952
sgXAB2_3,Hbe,R2,T3,XAB2,No,-1.94118255909723,+,0.0340136054421769,0,0.910426083184952
sgC9orf16_5,Hbe,R1,T5,C9orf16,No,-1.94024826465762,-,0.0391156462585034,0.00167785234899329,0.948229123864311
